# species: Homo sapiens
# support: EXP, IMP, ISS, ISM, TAS, IEA, HMP, HEP, IDA, IGI, ISO, IGC, NAS, HGI, IPI, IEP, ISA, RCA, IC, HDA
# associations retrieved on: 2021-03-22 22:09:17-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/goa_human.gaf.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:26-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: hgnc_symbol
#   coverage: 99.8%
# size of "genespace": 2326
# number of attributes: 10840
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000002	mitochondrial genome maintenance	LONP1 OPA1 SLC25A4
GO:0032874	positive regulation of stress-activated MAPK cascade	ARL6IP5 CDC42 DBNL EIF2AK2 MAP4K1 PAK1 PDCD10 PRMT1 PTK2B PTPN1 RPS3 SYK ZNF622
GO:0032875	regulation of DNA endoreduplication	SMC1A SMC3
GO:0032876	negative regulation of DNA endoreduplication	SMC1A SMC3
GO:0032878	regulation of establishment or maintenance of cell polarity	DOCK8 FLOT2 PTK2B
GO:0032879	regulation of localization	AAAS AAK1 AAMP ACAA2 ACSL3 ACTL6A ACTN4 ADA ADAM10 AHCYL1 AIMP1 AKAP8L AKAP9 ANKFY1 ANP32B ANXA4 AP1G1 AP2A1 AP2B1 AP2M1 AP2S1 AP3D1 APEX1 APPL1 ARFGAP1 ARFIP1 ARHGAP1 ARHGAP18 ARHGAP4 ARHGDIB ARHGEF2 ARHGEF7 ARL6IP5 ARPP19 ATAD1 ATG3 ATP1A1 ATP1B3 ATP2A2 B2M BAK1 BAX BCAP31 BCL2L1 BID BST2 C1QBP CADM1 CALR CAMK1D CAPN1 CASP1 CASP8 CBL CCAR1 CCDC22 CCL3 CD2AP CD38 CD47 CD58 CD74 CD9 CDC42 CDK1 CDK5 CDK5RAP3 CHERP CHMP2A CIB1 CLASP1 CLIC1 CLIC2 CLIC4 CLTC COMT CORO1A CORO1C CPNE3 CPSF6 CPT1A CSK CSNK2A1 CSNK2B CTSS CYB5R1 DDRGK1 DERL2 DHX36 DHX9 DIAPH1 DNAJA1 DNAJC1 DNAJC13 DNM1L DNM2 DOCK2 DOCK8 DYNC1H1 DYNLL1 DYNLL2 EHD1 EHD4 EMD ENSA ENY2 EPB41 ERP29 EZR FADD FERMT3 FHL1 FLNA FLOT1 FMR1 FTO G3BP2 GAPDH GAS6 GBF1 GBP1 GDI1 GLIPR2 GLMN GLRX GNA13 GNAI2 GNAS GNL3 GOLPH3 GOLPH3L GPI GSTO1 GSTP1 GTPBP4 HADH HAX1 HCLS1 HDAC7 HGS HNRNPK HNRNPU HSP90AB1 HSPA5 HSPA8 HSPH1 HTRA2 HUWE1 IDH2 IGBP1 IL16 ILK IPO5 IQGAP1 ITGB1 IWS1 KCNAB2 KHDRBS1 KIF2A KIF5B LAMP1 LAMTOR1 LCP1 LGALS3 LMAN2 LMNA LYAR LYPLA1 LZTFL1 MAP2K1 MAP2K2 MAP2K3 MAPK1 MAPK14 MAPK3 MAPRE1 MARCKS MIA3 MICAL1 MIF MIS18A MSN MYH10 MYO18A MYO1C MYO5A MYO6 NAPA NCBP2 NCKAP1L NDUFAF2 NFKB1 NMT1 NPEPPS NSF NUCB1 NUMA1 NUP153 NUP214 NUP54 NUP62 NUP93 NUTF2 OPA1 OS9 OSBPL8 OXCT1 OXSR1 PAK1 PARK7 PARP1 PCM1 PDCD10 PDCD5 PDCD6 PDCD6IP PEA15 PFKL PFKM PFN1 PHPT1 PICALM PIN1 PKP2 PLCG1 PML PPIA PPID PPIF PPM1A PPP1R12A PPT1 PRDX1 PRKCA PRKD2 PSMB7 PSMD10 PSMD8 PSMD9 PTK2B PTPN1 PTPN6 RAB11B RAB14 RAB21 RAB27A RAB3GAP1 RAB5A RAB7A RAB8A RAC2 RAF1 RANGAP1 RASSF5 RBM22 RCC2 RDX RHOB RHOG RNF20 RPL28 RPS19 RSL1D1 RTN4 RUFY1 RUVBL1 SAE1 SCFD1 SCP2 SDC1 SEMA4A SFN SH3GL1 SH3GLB1 SIN3A SLC25A4 SLC25A5 SLC25A6 SLC30A1 SLC9A3R1 SLK SNAPIN SNX12 SNX3 SP1 SPAG9 SQSTM1 SRI STAT3 STIM1 STK10 STK24 STK39 STMN1 STRAP STX7 STXBP2 STXBP3 SUMO1 SUPT6H SVIP SYK TM9SF4 TMEM109 TMEM30A TMSB4X TPR TRIM28 TSG101 TSPO TXN U2AF2 UBE2G2 UBE2J1 UBE2L3 UBL5 UFL1 VAMP2 VAMP8 VCL VPS28 VPS35 VPS37B VPS4A VPS4B WAS WBP11 WDR1 WDR46 WFS1 YIPF5 YWHAB YWHAE YWHAG YWHAH YWHAQ YWHAZ
GO:0032880	regulation of protein localization	AAK1 ACSL3 ACTL6A ANP32B ANXA4 AP2M1 APPL1 ARFIP1 BCAP31 BCL2L1 BID CADM1 CASP1 CASP8 CCDC22 CCL3 CD2AP CD38 CD58 CDC42 CDK1 CDK5 CDK5RAP3 CHERP CIB1 CLTC CPT1A CSK CSNK2A1 CYB5R1 DERL2 DHX36 DHX9 DNAJA1 DNAJC1 DNM1L DYNLL1 DYNLL2 EMD ENSA ENY2 EPB41 ERP29 EZR FLNA G3BP2 GAPDH GAS6 GBF1 GBP1 GDI1 GLMN GNL3 GOLPH3 GOLPH3L GPI HADH HAX1 HCLS1 HNRNPU HSP90AB1 HSPA8 HSPH1 HTRA2 HUWE1 IDH2 IPO5 IQGAP1 ITGB1 KCNAB2 KIF5B LCP1 LMNA LYPLA1 LZTFL1 MAPK1 MAPK14 MAPK3 MARCKS MIF MIS18A MSN MYH10 MYO18A MYO1C NDUFAF2 NMT1 NPEPPS NUCB1 NUMA1 NUP54 NUP62 NUP93 NUTF2 OS9 OXCT1 PAK1 PARK7 PARP1 PCM1 PDCD10 PDCD5 PFKL PFKM PHPT1 PICALM PIN1 PML PPIA PPID PPM1A PRDX1 PRKCA PSMB7 PSMD10 PSMD8 PSMD9 PTPN1 RAB11B RAB14 RAB8A RAC2 RANGAP1 RASSF5 RBM22 RCC2 RDX RHOG RPL28 RSL1D1 RUVBL1 SAE1 SCFD1 SFN SH3GLB1 SIN3A SLC25A4 SLC25A5 SLC25A6 SLC9A3R1 SNX12 SNX3 SQSTM1 SRI STX7 SUMO1 SVIP SYK TM9SF4 TMEM30A TMSB4X TPR TRIM28 TSG101 TXN U2AF2 UBE2G2 UBE2J1 UBE2L3 UBL5 UFL1 VAMP2 VAMP8 VPS28 VPS35 VPS4A WBP11 WDR46 YWHAB YWHAE YWHAG YWHAH YWHAQ YWHAZ
GO:0032881	regulation of polysaccharide metabolic process	AP2A1 CLTC NFKB1
GO:0032885	regulation of polysaccharide biosynthetic process	AP2A1 CLTC NFKB1
GO:0032886	regulation of microtubule-based process	AKAP9 ARHGEF2 BICD2 CDC42 CHMP1A CHMP2A CHMP4B CHMP5 CHORDC1 CIB1 CLASP1 CLTC DIAPH1 DYNC1H1 FKBP4 HNRNPU IGBP1 KIF11 LAMP1 MAPRE1 NPM1 NUBP1 NUMA1 NUP62 PAFAH1B1 PAK1 PDCD6IP RAE1 RBM14 RCC2 RPS3 SMC1A SMC3 STMN1 TPR VPS4B XPO1
GO:0032887	regulation of spindle elongation	NUMA1
GO:0032888	regulation of mitotic spindle elongation	NUMA1
GO:0032890	regulation of organic acid transport	ARL6IP5 MIF RAB3GAP1 SYK
GO:0032891	negative regulation of organic acid transport	ARL6IP5
GO:0032892	positive regulation of organic acid transport	MIF RAB3GAP1
GO:0032897	negative regulation of viral transcription	CCL3 TARDBP
GO:0032908	regulation of transforming growth factor beta1 production	CD2AP
GO:0032911	negative regulation of transforming growth factor beta1 production	CD2AP
GO:0032922	circadian regulation of gene expression	GFPT1 HNRNPU MYBBP1A OGT PML PPP1CB PRMT5 TOP1
GO:0032925	regulation of activin receptor signaling pathway	CSNK2B LEMD3
GO:0032926	negative regulation of activin receptor signaling pathway	LEMD3
GO:0032927	positive regulation of activin receptor signaling pathway	CSNK2B
GO:0032928	regulation of superoxide anion generation	GSTP1 SOD1 SYK
GO:0032930	positive regulation of superoxide anion generation	GSTP1 SOD1
GO:0032933	SREBP signaling pathway	EIF2A
GO:0032934	sterol binding	ANXA6 NPC2 OSBP OSBPL8 SCP2 STARD5 TSPO
GO:0032940	secretion by cell	ACAA1 ACLY ACTN4 ACTR1B ACTR2 ADAM10 AGA ALAD ALDOA ALDOC ANXA5 AP1M1 APEH APRT ARFGAP3 ARFGEF2 ARL8A ARPC5 ASAH1 ATP6V0A1 ATP6V1D B2M BST2 CAND1 CANX CAP1 CAPN1 CAT CBL CCL3 CCT2 CCT8 CD44 CD47 CD58 CD59 CD9 CDK5 CHID1 CKAP4 CNN2 COMMD3 COMMD9 COPB1 COPS5 CORO1A CPNE1 CPNE3 CPPED1 CSNK2B CSTB CTSA CTSB CTSC CTSD CTSS CYB5R1 CYB5R3 DBNL DDOST DERA DIAPH1 DNAJC13 DNAJC3 DOCK2 DYNC1H1 DYNC1LI1 DYNLL1 EEF1A1 EEF2 ERP29 ERP44 FABP5 FAF2 FAM3C FERMT3 FLNA FTL GAS6 GDI2 GGH GLA GLS GM2A GMFG GNS GOLPH3 GPI GRN GSTP1 GUSB GYG1 HEXB HMOX2 HPSE HSP90AA1 HSP90AB1 HSPA8 HUWE1 IDH1 IGF2R ILF2 IMPDH1 IMPDH2 IQGAP1 IQGAP2 IST1 KCNAB2 KPNB1 LAMP1 LAMTOR1 LAMTOR2 LAMTOR3 LCP2 LGALS3 LPCAT1 LTA4H M6PR MAGED2 MAGT1 MANF MAPK1 MAPK14 METTL7A MIA3 MIF MLEC MVP MYO5A NCKAP1L NCSTN NEU1 NFKB1 NHLRC2 NIT2 NPC2 NSF OLA1 OSTF1 PA2G4 PAFAH1B1 PAFAH1B2 PAK1 PARK7 PDAP1 PDIA4 PDXK PFKL PGAM1 PGM1 PGM2 PGRMC1 PLEK PLEKHO2 PNP PPIA PPIE PRDX4 PRDX6 PSAP PSMA5 PSMB1 PSMB7 PSMC2 PSMC3 PSMD1 PSMD11 PSMD12 PSMD13 PSMD14 PSMD2 PSMD3 PSMD6 PSMD7 PTGES2 PTPN6 RAB11B RAB14 RAB18 RAB1A RAB24 RAB27A RAB5C RAB6A RAB7A RAF1 RHOG S100A11 SCAMP1 SCCPDH SDF4 SEL1L SERPINB6 SLC1A5 SNAP23 SNAP29 SNAPIN SOD1 SRP14 STK10 STXBP2 STXBP3 SURF4 SVIP SYK SYNGR2 TAGLN2 TEX264 TLN1 TMED10 TMEM30A TMSB4X TMX3 TOLLIP TOM1 TSG101 TUBA4A TUBB TXLNA TXNDC5 UBR4 VAMP2 VAMP8 VAPA VCL VCP WDR1 XRCC5 XRCC6
GO:0032941	secretion by tissue	APRT CAD COPA NME1 PPAT UMPS VAMP8
GO:0032943	mononuclear cell proliferation	BAX DOCK2 DOCK8 HPRT1 HSPD1 IMPDH1 IMPDH2 MALT1 MSN NCSTN RPS6 TBK1
GO:0032944	regulation of mononuclear cell proliferation	ADA CASP3 CCDC88B CD38 CD74 CORO1A DNAJA3 FADD GLMN IKZF3 LGALS3 MIF NCKAP1L PAWR PNP PRKAR1A PTPN6 RAC2 RASAL3 RPS3 SASH3 TFRC
GO:0032945	negative regulation of mononuclear cell proliferation	CASP3 GLMN PAWR PRKAR1A PTPN6
GO:0032946	positive regulation of mononuclear cell proliferation	ADA CCDC88B CD38 CD74 CORO1A DNAJA3 FADD MIF NCKAP1L PNP RASAL3 RPS3 SASH3 TFRC
GO:0032947	protein complex scaffold	AIMP2 AKAP9 CHCHD3 CNOT1 EIF3B EIF4G1 G3BP2 ISCU MMS19 NUP62 PKP2 SLC9A3R1
GO:0032954	regulation of cytokinetic process	NUP62
GO:0032956	regulation of actin cytoskeleton organization	ACTR2 ACTR3 ARHGAP18 ARHGDIA ARHGDIB ARPC2 ARPC3 ARPC5 BRK1 BST2 CAPZA1 CAPZA2 CD2AP CDC42 CDK5 CFL1 CLASP1 CORO1A DSTN FHOD1 GMFB GMFG GRB2 HAX1 HCLS1 ILK IQGAP2 MYO1C NCKAP1L PAK1 PFN1 PHPT1 PLEK PTK2B RASA1 RDX STMN1 TMOD3 TMSB4X TWF1 TWF2 VASP WAS WASF2 WDR1
GO:0032960	regulation of inositol trisphosphate biosynthetic process	PTK2B
GO:0032963	collagen metabolic process	CTSB CTSD CTSS PEPD
GO:0032965	regulation of collagen biosynthetic process	VIM
GO:0032967	positive regulation of collagen biosynthetic process	VIM
GO:0032968	positive regulation of transcription elongation from RNA polymerase II promoter	CDC73 LEO1 PAF1 RTF1 SUPT6H WDR61
GO:0032970	regulation of actin filament-based process	ACTR2 ACTR3 ARHGAP18 ARHGDIA ARHGDIB ARPC2 ARPC3 ARPC5 ATP1A1 BRK1 BST2 CAPZA1 CAPZA2 CD2AP CDC42 CDK5 CFL1 CLASP1 CNN2 CORO1A DSTN FHOD1 GMFB GMFG GRB2 HAX1 HCLS1 ILK IQGAP2 MYH9 MYO1C NCKAP1L PAK1 PFN1 PHPT1 PLEK PTK2B RASA1 RDX SRI STMN1 SUMO1 TMOD3 TMSB4X TWF1 TWF2 VASP WAS WASF2 WDR1
GO:0032976	release of matrix enzymes from mitochondria	BAX
GO:0032981	mitochondrial respiratory chain complex I assembly	ACAD9 NDUFA10 NDUFA13 NDUFA2 NDUFA3 NDUFA6 NDUFA8 NDUFA9 NDUFAF2 NDUFAF3 NDUFAF4 NDUFB1 NDUFB10 NDUFB11 NDUFB4 NDUFB5 NDUFB6 NDUFB9 NDUFS1 NDUFS2 NDUFS3 NDUFS5 NDUFS6 NDUFS7 NDUFS8 NDUFV1 NDUFV2 TIMMDC1
GO:0032982	myosin filament	MYH10 MYH9
GO:0032984	macromolecular complex disassembly	APEH ARID1A CFL1 CHCHD1 CKAP5 DSTN ETF1 GADD45GIP1 GRWD1 GSPT1 HMGA1 HSPA8 KIF2A KIF5B MCTS1 MICAL1 MRPL1 MRPL11 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL18 MRPL19 MRPL2 MRPL21 MRPL22 MRPL23 MRPL24 MRPL27 MRPL28 MRPL3 MRPL32 MRPL34 MRPL37 MRPL39 MRPL4 MRPL40 MRPL41 MRPL43 MRPL44 MRPL45 MRPL46 MRPL47 MRPL49 MRPL50 MRPL51 MRPL53 MRPL54 MRPL55 MRPL9 MRPS11 MRPS12 MRPS14 MRPS15 MRPS16 MRPS18A MRPS18B MRPS18C MRPS2 MRPS22 MRPS23 MRPS25 MRPS26 MRPS27 MRPS28 MRPS30 MRPS31 MRPS33 MRPS34 MRPS35 MRPS36 MRPS5 MRPS6 MRPS7 MRPS9 MRRF NSF PTCD3 RPL23 SET SH3GL1 SMARCA4 SMARCB1 SMARCC1 SMARCC2 SMARCE1 STMN1 SUPT16H TFIP11 TRMT112 VPS4A VPS4B WDR1
GO:0032986	protein-DNA complex disassembly	ARID1A GRWD1 HMGA1 RPL23 SET SMARCA4 SMARCB1 SMARCC1 SMARCC2 SMARCE1 SUPT16H
GO:0032988	ribonucleoprotein complex disassembly	KIF5B MCTS1 MRRF TFIP11
GO:0032989	cellular component morphogenesis	ABI1 ACTR2 ACTR3 AFG3L2 ARHGEF2 ARL3 ATP6V1D ATXN10 BASP1 BAX BCL2L1 C12ORF57 CDC42 CDK5 CLIC4 CNP CUL3 DBNL DDX17 DDX5 DNM1L DNM2 EHD1 FERMT3 FLNA FLOT1 HNRNPAB HPRT1 ILK ITGB1 ITGB7 KIDINS220 MAPK14 NDUFS6 NOLC1 NUDCD3 OPA1 PAFAH1B1 PAK1 PCM1 PDCD4 PDCD6 PELO PICALM PNPT1 POLDIP2 RAB1A RAB8A RTN4 SART3 SCFD1 SEMA4A SLIRP SNAP29 SNX1 SNX2 SS18 SSBP1 ST14 STK4 STMN1 SUPV3L1 TCOF1 TOP2B TRIM28 WASF2 YTHDF2
GO:0032990	cell part morphogenesis	ABI1 ACTR2 ACTR3 AFG3L2 ARL3 ATP6V1D ATXN10 BAX BCL2L1 C12ORF57 CDC42 CDK5 CNP DBNL DNM1L DNM2 EHD1 FLNA FLOT1 HPRT1 ILK ITGB1 KIDINS220 NDUFS6 NUDCD3 OPA1 PAFAH1B1 PAK1 PCM1 PICALM PNPT1 POLDIP2 RAB8A SEMA4A SLIRP SNAP29 SNX1 SNX2 SSBP1 STMN1 SUPV3L1 TOP2B WASF2
